name,rating,comments,author/translator,pub
我讨厌妈妈,8.8,3761,酒井驹子   彭懿,南海出版公司   2007-6   22.00元
车的颜色是天空的颜色,9.0,474,阿万纪美子 著、北田卓史 画   彭懿   21世纪出版社,作家出版社   1999年   9.00元
松鼠先生和月亮,9.2,562,(德)塞巴斯蒂安·麦什莫泽  文 图   王晓翠,湖北美术出版社   2009-1   23.00
爱心树:新经典文库,9.1,2973,谢尔・希尔弗斯坦   傅惟慈,南海出版公司   2003-9-1   18.00元
小熊维尼,8.8,345,A.A.米尔恩   乔向东,上海人民   2007-8-1   28.00
要求太多的餐馆:宫泽贤治经典之作,8.0,374,(日) 宫泽贤治   周龙梅,百花洲文艺出版社   2011-1   28.00元
我们都爱桃伯特:在一个故事中离去，在所有故事中生活。,8.3,172,墨墨、狸空,人民文学出版社   2012-1   28.00元
五日谈,7.2,52,(意)吉姆巴地斯达·巴西耳(Giambattista Basile)   马爱农、马爱新,时代文艺出版社   1996   18.5
爱丽斯漫游奇境,8.5,3502,刘易斯・卡罗尔   张晓路,人民文学出版社   1998-5   10.60元
百年童话,8.7,53,,曹建伟   长江文艺出版社   2016-1
矮人星上的矮人,7.6,462,(意)翁贝托·埃科 著、(意)欧金尼奥·卡尔米 绘图   王建全,上海译文出版社   2012-10   24.00元
青蛙和蟾蜍（全四册）,9.0,152,(美)艾诺·洛贝尔   潘人木、党英台,明天出版社   2009-6-1   52.80元
汤姆的午夜花园,8.7,207,（英）菲莉帕・皮尔斯   马爱农,人民文学出版社   2005-01   20.00
魔方大厦,8.4,1670,郑渊洁,学苑出版社   2003-10   19.50元
皮皮鲁和蛇王阿奔,9.0,434,郑渊洁,二十一世纪出版社   2007-7   13.80元
丛林故事,8.4,222,（英）吉卜林   文美惠，任吉生,人民文学出版社   2004-03   11.00元
爱尔兰童话故事:诺奖童书,7.9,13,[爱尔兰] 叶芝 编   高勤芳,人民文学出版社   2016-4   23.00元
兔子屋的秘密,8.8,880,安房直子   周龙梅 彭懿,接力出版社   200606   9.00
一片叶子落下来:新经典文库,8.5,733,(美)利奥·巴斯卡利亚   任溶溶,南海出版公司   2006-12   20.00
哈默林的花衣吹笛人,8.6,46,[英] 罗伯特·布朗宁、克里斯蒂娜·罗塞蒂、罗伯特·路易斯·斯蒂文森   屠岸、方谷绣,中国少年儿童出版社   2001-7   14.00元
给姑娘陛下:灰色童话1,8.6,748,夜X、吴淼（绘）,万卷出版公司   2010-5   25.00元
时间之城,8.4,209,马嘉恺,新世界出版社   2010-6   29.80元
魔法师的帽子,9.0,297,(芬)托芙·扬松   任溶溶,明天出版社   2004-4-1   12.00
鹅妈妈童谣,9.0,80,张新颖、肖慧、叶秀芳,上海教育出版社   2000年3月   7.50元
黑塞童话选,8.8,85,海尔曼·黑塞   杨志军,中国城市经济社会出版社   1990.10   1.80元
吹牛大王历险记,8.7,661,拉斯伯   刘浩,人民文学出版社   2000-5-1   6.00
列那狐的故事,8.8,1710,M.H.吉罗夫人   上海图书馆,上海科技文献出版社   2004-5   18.00元
风之又三郎,8.3,140,[日]宫泽贤治   徐华锳,吉林出版集团有限责任公司   2012-5   25.00元
365夜知识童话(上下),9.5,104,,鲁克主编   少年儿童出版社   1994
CompleteFairyTalesofOscarWilde,9.3,233,Oscar Wilde,Signet Classics   2008年   USD 5.95
奥斯卡与玫瑰夫人,8.8,378,[法] 埃里克-埃玛纽埃尔·施米特   徐晓雁,作家出版社   2008-5   25.00元
